OriginalTraitName,OriginalTraitValue,Location,Latitude,Longitude,Consumer,ConCommon,ConGenus,ConSpecies,ConSize,ConSizeUnit,ConSizeType,ConSizeSI,ConSizeUnitSI,CitationID,Citation,DOI,FigureTable
Egg number,2168.6748,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.48773,kg,weight,1.48773,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2375.215,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3404908,kg,weight,1.3404908,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2598.9673,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.3865031,kg,weight,1.3865031,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2358.0034,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.4601227,kg,weight,1.4601227,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2426.8503,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.4785277,kg,weight,1.4785277,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2495.697,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.5429448,kg,weight,1.5429448,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2426.8503,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6165644,kg,weight,1.6165644,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2375.215,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.5613497,kg,weight,1.5613497,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2220.3098,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.5981596,kg,weight,1.5981596,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2117.0396,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.6993865,kg,weight,1.6993865,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1944.9226,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7822086,kg,weight,1.7822086,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1549.0533,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8926381,kg,weight,1.8926381,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1583.4768,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.9478527,kg,weight,1.9478527,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1652.3236,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,2.0030675,kg,weight,2.0030675,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1084.3374,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.9662577,kg,weight,1.9662577,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1170.3959,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,2.3067484,kg,weight,2.3067484,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,1807.2289,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,2.1687117,kg,weight,2.1687117,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2013.7694,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8742331,kg,weight,1.8742331,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2099.828,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8834356,kg,weight,1.8834356,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2030.9811,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8006135,kg,weight,1.8006135,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2117.0396,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7638037,kg,weight,1.7638037,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2237.5215,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.791411,kg,weight,1.791411,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2203.0981,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8650306,kg,weight,1.8650306,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2358.0034,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.9018404,kg,weight,1.9018404,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2409.6387,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8374233,kg,weight,1.8374233,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2306.3684,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.8374233,kg,weight,1.8374233,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
Egg number,2409.6387,Ireland,53,7,Salmo Salar,Atlantic Salmon,Salmo,salar,1.7822086,kg,weight,1.7822086,kilogram,22,"de Eyto, E., White, J., Boylan, P., Clarke, B., Cotter, D., Doherty, D., � O�Higgins, K. (2015). The fecundity of wild Irish Atlantic salmon Salmo salar L. and its application for stock assessment purposes. Fisheries Research, 164, 159�169. ",https://doi.org/10.1016/J.FISHRES.2014.11.017,Figure 5 
